id,comida_preferida,frecuencia_consumo,gasto_promedio,satisfaccion_producto,satisfaccion_servicio,tiempo_entrega,precio_percepcion,recomendaria_nps,volveria_comprar,calificacion_general
1,Pollo Frito,Diario,70,5,3,Aceptable,Bajo,3,Sí,4
2,Pizza,Semanal,122,0,4,Rápido,Medio,8,No,4
3,Hot Dogs,Diario,71,4,7,Lento,Medio,5,Sí,5
4,Pizza,Semanal,153,6,5,Aceptable,Alto,1,No,4
5,Hamburguesas,Quincenal,115,8,9,Aceptable,Bajo,8,Sí,8
6,Pizza,Semanal,55,9,9,Aceptable,Medio,6,No,8
7,Hamburguesas,Semanal,69,9,8,Aceptable,Medio,2,Sí,6
8,Pollo Frito,Semanal,116,8,5,Rápido,Bajo,6,Sí,6
9,Hamburguesas,Semanal,62,10,8,Rápido,Medio,9,Sí,9
10,Shawarmas,Quincenal,48,5,5,Aceptable,Medio,8,No,6
11,Pollo Frito,Semanal,52,7,2,Rápido,Bajo,1,Sí,3
12,Tacos,Quincenal,74,6,10,Lento,Alto,7,Sí,8
13,Pizza,Mensual,132,10,9,Rápido,Medio,9,Sí,9
14,Pizza,Diario,137,9,5,Rápido,Alto,7,Sí,7
15,Shawarmas,Semanal,94,8,4,Aceptable,Alto,9,Sí,7
16,Pollo Frito,Diario,76,7,3,Rápido,Medio,6,No,5
17,Pollo Frito,Semanal,128,7,2,Aceptable,Bajo,9,Sí,6
18,Pollo Frito,Quincenal,68,7,8,Lento,Medio,10,Sí,8
19,Tacos,Mensual,76,10,8,Aceptable,Bajo,7,Sí,8
20,Pizza,Semanal,120,8,8,Rápido,Alto,0,Sí,5
21,Hot Dogs,Semanal,35,5,7,Rápido,Medio,8,No,7
22,Hamburguesas,Semanal,119,7,7,Aceptable,Medio,7,Sí,7
23,Sándwiches,Semanal,76,9,9,Rápido,Medio,3,Sí,7
24,Hamburguesas,Semanal,66,9,2,Lento,Bajo,9,Sí,7
25,Pollo Frito,Quincenal,36,10,10,Rápido,Medio,9,Sí,10
26,Pizza,Quincenal,52,4,0,Rápido,Medio,7,No,4
27,Tacos,Mensual,87,4,6,Aceptable,Bajo,10,Sí,7
28,Pollo Frito,Quincenal,102,4,10,Rápido,Bajo,2,Sí,5
29,Shawarmas,Quincenal,61,8,1,Lento,Medio,2,No,4
30,Tacos,Semanal,75,3,8,Rápido,Medio,7,Sí,6
31,Pollo Frito,Semanal,103,5,5,Lento,Medio,10,Sí,7
32,Pizza,Mensual,135,6,10,Aceptable,Medio,9,Sí,8
33,Pollo Frito,Ocasional,48,10,3,Aceptable,Bajo,3,Sí,5
34,Hamburguesas,Semanal,78,4,8,Rápido,Alto,5,No,6
35,Pizza,Quincenal,151,5,0,Rápido,Medio,9,No,5
36,Tacos,Quincenal,39,2,10,Aceptable,Medio,10,Sí,7
37,Pizza,Semanal,84,6,10,Rápido,Medio,10,Sí,9
38,Tacos,Mensual,70,9,10,Aceptable,Bajo,7,Sí,9
39,Shawarmas,Mensual,52,10,0,Rápido,Alto,9,Sí,6
40,Hot Dogs,Mensual,71,5,4,Lento,Alto,9,No,6
41,Pizza,Mensual,103,6,9,Rápido,Medio,9,Sí,8
42,Hamburguesas,Semanal,43,10,5,Rápido,Alto,8,Sí,8
43,Pollo Frito,Ocasional,49,9,5,Lento,Bajo,8,Sí,7
44,Pollo Frito,Semanal,75,7,10,Rápido,Medio,3,Sí,7
45,Pizza,Ocasional,113,8,10,Rápido,Medio,9,Sí,9
46,Sándwiches,Ocasional,65,8,3,Aceptable,Medio,10,Sí,7
47,Hamburguesas,Mensual,105,3,7,Aceptable,Medio,10,Sí,7
48,Pollo Frito,Diario,71,5,9,Aceptable,Medio,8,No,7
49,Pizza,Quincenal,160,10,9,Rápido,Medio,8,Sí,9
50,Pollo Frito,Semanal,65,8,5,Rápido,Alto,4,Sí,6
51,Pollo Frito,Mensual,93,7,8,Aceptable,Medio,4,No,6
52,Pollo Frito,Diario,48,9,5,Aceptable,Medio,9,Sí,8
53,Pollo Frito,Ocasional,50,7,9,Lento,Medio,8,Sí,8
54,Sándwiches,Mensual,89,7,10,Rápido,Alto,7,Sí,8
55,Hamburguesas,Mensual,116,5,9,Rápido,Bajo,7,Sí,7
56,Hamburguesas,Semanal,75,10,2,Aceptable,Medio,4,No,5
57,Pizza,Quincenal,114,7,2,Rápido,Alto,9,Sí,6
58,Sándwiches,Diario,73,7,10,Lento,Alto,6,No,8
59,Hamburguesas,Mensual,104,9,10,Rápido,Medio,7,Sí,9
60,Hamburguesas,Mensual,86,9,9,Lento,Medio,10,Sí,9
61,Shawarmas,Quincenal,33,2,7,Rápido,Medio,9,Sí,6
62,Pizza,Semanal,142,9,5,Rápido,Alto,10,Sí,8
63,Pollo Frito,Mensual,41,10,6,Aceptable,Medio,8,Sí,8
64,Tacos,Ocasional,50,9,8,Aceptable,Medio,5,No,7
65,Pizza,Mensual,143,6,8,Aceptable,Alto,10,Sí,8
66,Pizza,Semanal,119,0,6,Rápido,Medio,8,No,5
67,Pizza,Mensual,125,5,8,Aceptable,Medio,6,Sí,6
68,Pizza,Quincenal,129,6,7,Aceptable,Bajo,6,No,6
69,Sándwiches,Quincenal,83,9,7,Lento,Medio,9,Sí,8
70,Hot Dogs,Quincenal,50,7,9,Rápido,Medio,8,Sí,8
71,Sándwiches,Semanal,82,5,7,Rápido,Medio,8,No,7
72,Hamburguesas,Quincenal,80,9,6,Aceptable,Medio,10,Sí,8
73,Pizza,Ocasional,55,5,7,Aceptable,Medio,8,Sí,7
74,Pollo Frito,Mensual,46,6,7,Aceptable,Medio,5,No,6
75,Hamburguesas,Mensual,77,6,7,Rápido,Medio,6,Sí,6
76,Pizza,Quincenal,142,8,4,Rápido,Medio,9,Sí,7
77,Tacos,Quincenal,37,9,6,Rápido,Medio,6,No,7
78,Hamburguesas,Ocasional,105,6,10,Aceptable,Bajo,8,Sí,8
79,Pizza,Semanal,106,7,4,Rápido,Bajo,1,No,4
80,Pollo Frito,Quincenal,122,1,3,Rápido,Medio,8,No,4
81,Pollo Frito,Quincenal,111,9,5,Aceptable,Medio,7,Sí,7
82,Shawarmas,Ocasional,69,8,2,Rápido,Alto,10,Sí,7
83,Pollo Frito,Semanal,45,4,4,Rápido,Medio,2,Sí,3
84,Pollo Frito,Diario,71,9,9,Aceptable,Alto,7,Sí,8
85,Hot Dogs,Quincenal,62,9,4,Aceptable,Alto,3,Sí,5
86,Hot Dogs,Semanal,30,9,8,Lento,Medio,9,Sí,9
87,Pollo Frito,Semanal,86,10,7,Rápido,Bajo,7,Sí,8
88,Hamburguesas,Semanal,67,0,5,Lento,Medio,8,Sí,4
89,Hamburguesas,Diario,57,7,8,Rápido,Medio,10,Sí,8
90,Pollo Frito,Quincenal,46,7,7,Lento,Medio,6,Sí,7
91,Tacos,Semanal,76,9,8,Rápido,Medio,7,Sí,8
92,Sándwiches,Quincenal,90,9,0,Aceptable,Bajo,9,Sí,6
93,Pollo Frito,Quincenal,98,8,9,Lento,Medio,4,Sí,7
94,Tacos,Semanal,55,9,6,Rápido,Alto,0,No,5
95,Shawarmas,Quincenal,45,8,4,Rápido,Medio,10,Sí,7
96,Hamburguesas,Quincenal,95,5,8,Lento,Medio,6,Sí,6
97,Hot Dogs,Quincenal,70,7,9,Aceptable,Medio,5,No,7
98,Pollo Frito,Mensual,92,8,6,Aceptable,Medio,8,Sí,7
99,Hamburguesas,Semanal,65,8,5,Rápido,Medio,9,Sí,7
100,Tacos,Mensual,74,10,9,Rápido,Alto,8,Sí,9
101,Pizza,Ocasional,87,9,9,Aceptable,Medio,7,Sí,8
102,Tacos,Quincenal,44,2,9,Aceptable,Alto,5,No,5
103,Hot Dogs,Mensual,44,10,8,Aceptable,Medio,10,Sí,9
104,Pollo Frito,Semanal,122,10,10,Rápido,Bajo,9,Sí,10
105,Pollo Frito,Mensual,91,4,6,Aceptable,Medio,0,No,3
106,Hamburguesas,Semanal,102,7,8,Rápido,Alto,4,Sí,6
107,Pollo Frito,Semanal,109,3,7,Aceptable,Alto,5,No,5
108,Pollo Frito,Semanal,104,4,7,Aceptable,Medio,6,No,6
109,Hamburguesas,Mensual,60,10,9,Aceptable,Medio,3,No,7
110,Sándwiches,Semanal,75,5,8,Lento,Medio,8,Sí,7
111,Hot Dogs,Ocasional,69,9,8,Aceptable,Medio,6,Sí,8
112,Tacos,Mensual,42,8,10,Rápido,Medio,8,Sí,9
113,Pollo Frito,Mensual,46,10,6,Rápido,Alto,7,Sí,8
114,Shawarmas,Semanal,94,10,9,Lento,Medio,5,No,8
115,Shawarmas,Mensual,89,10,3,Lento,Medio,10,Sí,8
116,Sándwiches,Ocasional,71,2,7,Aceptable,Medio,5,Sí,5
117,Tacos,Quincenal,72,3,5,Lento,Medio,0,No,3
118,Pizza,Mensual,134,6,7,Rápido,Medio,3,Sí,5
119,Pizza,Mensual,62,6,6,Aceptable,Medio,10,Sí,7
120,Pollo Frito,Mensual,88,8,9,Lento,Medio,8,Sí,8
121,Tacos,Semanal,81,10,9,Aceptable,Alto,2,No,7
122,Hamburguesas,Semanal,59,10,10,Rápido,Medio,9,Sí,10
123,Pollo Frito,Ocasional,41,9,5,Rápido,Alto,3,Sí,6
124,Pizza,Semanal,156,5,9,Rápido,Alto,9,Sí,8
125,Sándwiches,Quincenal,47,3,9,Aceptable,Medio,3,No,5
126,Hamburguesas,Semanal,41,3,7,Aceptable,Alto,3,Sí,4
127,Pollo Frito,Semanal,99,5,8,Aceptable,Alto,9,No,7
128,Pizza,Quincenal,96,7,3,Rápido,Alto,9,Sí,6
129,Hamburguesas,Semanal,51,5,8,Rápido,Medio,8,No,7
130,Hamburguesas,Quincenal,90,2,9,Rápido,Alto,9,Sí,7
131,Hamburguesas,Mensual,86,7,2,Aceptable,Medio,7,Sí,5
132,Pizza,Ocasional,53,2,2,Aceptable,Medio,7,No,4
133,Pollo Frito,Quincenal,77,8,7,Lento,Medio,9,Sí,8
134,Shawarmas,Semanal,66,8,6,Rápido,Medio,8,Sí,7
135,Pizza,Semanal,153,8,3,Aceptable,Alto,5,Sí,5
136,Sándwiches,Mensual,28,8,8,Rápido,Medio,8,Sí,8
137,Tacos,Ocasional,69,0,9,Rápido,Medio,8,No,6
138,Sándwiches,Semanal,92,5,7,Rápido,Medio,6,No,6
139,Sándwiches,Quincenal,31,4,9,Rápido,Medio,1,Sí,5
140,Pollo Frito,Quincenal,69,5,7,Rápido,Medio,6,Sí,6
141,Pollo Frito,Mensual,40,5,10,Rápido,Medio,1,Sí,5
142,Pizza,Semanal,86,3,7,Rápido,Medio,7,Sí,6
143,Pollo Frito,Mensual,80,2,9,Aceptable,Bajo,1,Sí,4
144,Hamburguesas,Quincenal,86,9,7,Lento,Bajo,3,Sí,6
145,Sándwiches,Quincenal,71,2,9,Aceptable,Medio,5,No,5
146,Hamburguesas,Semanal,77,9,2,Aceptable,Medio,8,Sí,6
147,Tacos,Semanal,43,5,3,Aceptable,Medio,4,Sí,4
148,Pizza,Mensual,108,7,8,Aceptable,Alto,8,Sí,8
149,Pollo Frito,Ocasional,76,9,8,Aceptable,Medio,4,Sí,7
150,Hot Dogs,Quincenal,42,7,6,Rápido,Alto,7,Sí,7
